,Date,Value
3631,2017-02-13,237.27
3632,2017-02-14,225.02
3633,2017-02-15,197.23
3634,2017-02-16,194.03
3635,2017-02-17,177.83
3636,2017-02-18,169.76
3637,2017-02-19,166.31
3638,2017-02-20,159.9
3639,2017-02-21,166.06
3640,2017-02-22,171.72
3641,2017-02-23,202.77
3642,2017-02-24,198.49
3643,2017-02-25,186.58
3644,2017-02-26,174.53
3645,2017-02-27,207.38
3646,2017-02-28,222.89
3647,2017-03-01,211.67
3648,2017-03-02,206.84
3649,2017-03-03,205.11
3650,2017-03-04,175.72
3651,2017-03-05,191.34
3652,2017-03-06,194.96
3653,2017-03-07,187.8
3654,2017-03-08,171.95
3655,2017-03-09,154.13
3656,2017-03-10,163.47
3657,2017-03-11,139.72
3658,2017-03-12,144.26
3659,2017-03-13,154.01
3660,2017-03-14,150.91
3661,2017-03-15,138.69
3662,2017-03-16,158.17
3663,2017-03-17,179.17
3664,2017-03-18,144.89
3665,2017-03-19,137.65
3666,2017-03-20,163.27
3667,2017-03-21,183.73
3668,2017-03-22,201.86
3669,2017-03-23,190.85
3670,2017-03-24,177.0
3671,2017-03-25,146.45
3672,2017-03-26,138.27
3673,2017-03-27,153.68
3674,2017-03-28,150.61
3675,2017-03-29,141.92
3676,2017-03-30,115.18
3677,2017-03-31,111.33
3678,2017-04-01,115.7
3679,2017-04-02,115.69
3680,2017-04-03,125.61
3681,2017-04-04,129.67
3682,2017-04-05,134.63
3683,2017-04-06,130.13
3684,2017-04-07,126.16
3685,2017-04-08,100.85
3686,2017-04-09,91.91
3687,2017-04-10,119.38
3688,2017-04-11,125.16
3689,2017-04-12,130.54
3690,2017-04-13,133.96
3691,2017-04-14,128.98
3692,2017-04-15,120.7
3693,2017-04-16,126.81
3694,2017-04-17,134.35
3695,2017-04-18,139.38
3696,2017-04-19,135.44
3697,2017-04-20,127.17
3698,2017-04-21,124.2
3699,2017-04-22,110.43
3700,2017-04-23,108.45
3701,2017-04-24,139.46
3702,2017-04-25,167.67
3703,2017-04-26,172.45
3704,2017-04-27,166.83
3705,2017-04-28,142.26
3706,2017-04-29,121.27
3707,2017-04-30,109.92
3708,2017-05-01,114.66
3709,2017-05-02,115.07
3710,2017-05-03,127.49
3711,2017-05-04,119.75
3712,2017-05-05,112.31
3713,2017-05-06,115.36
3714,2017-05-07,104.28
3715,2017-05-08,126.82
3716,2017-05-09,124.51
3717,2017-05-10,103.67
3718,2017-05-11,94.58
3719,2017-05-12,96.29
3720,2017-05-13,89.53
3721,2017-05-14,82.74
3722,2017-05-15,100.83
3723,2017-05-16,85.36
3724,2017-05-17,94.66
3725,2017-05-18,93.51
3726,2017-05-19,100.3
3727,2017-05-20,93.55
3728,2017-05-21,82.22
3729,2017-05-22,76.5
3730,2017-05-23,74.94
3731,2017-05-24,68.75
3732,2017-05-25,63.61
3733,2017-05-26,57.92
3734,2017-05-27,53.11
3735,2017-05-28,55.49
3736,2017-05-29,68.03
3737,2017-05-30,66.48
3738,2017-05-31,66.5
3739,2017-06-01,63.7
3740,2017-06-02,63.32
3741,2017-06-03,58.19
3742,2017-06-04,62.63
3743,2017-06-05,82.05
3744,2017-06-06,94.26
3745,2017-06-07,83.67
3746,2017-06-08,83.69
3747,2017-06-09,73.19
3748,2017-06-10,64.89
3749,2017-06-11,64.37
3750,2017-06-12,73.73
3751,2017-06-13,71.45
3752,2017-06-14,64.47
3753,2017-06-15,64.17
3754,2017-06-16,64.72
3755,2017-06-17,54.29
3756,2017-06-18,53.23
3757,2017-06-19,55.9
3758,2017-06-20,56.41
3759,2017-06-21,56.88
3760,2017-06-22,58.28
3761,2017-06-23,60.94
3762,2017-06-24,57.35
3763,2017-06-25,59.89
3764,2017-06-26,64.11
3765,2017-06-27,69.77
3766,2017-06-28,78.76
3767,2017-06-29,84.7
3768,2017-06-30,73.62
3769,2017-07-01,62.66
3770,2017-07-02,60.08
3771,2017-07-03,62.83
3772,2017-07-04,65.8
3773,2017-07-05,63.17
3774,2017-07-06,59.81
3775,2017-07-07,58.53
3776,2017-07-08,53.72
3777,2017-07-09,54.52
3778,2017-07-10,61.74
3779,2017-07-11,66.61
3780,2017-07-12,63.93
3781,2017-07-13,62.58
3782,2017-07-14,62.27
3783,2017-07-15,57.51
3784,2017-07-16,56.92
3785,2017-07-17,58.61
3786,2017-07-18,57.4
3787,2017-07-19,58.15
3788,2017-07-20,61.17
3789,2017-07-21,60.92
3790,2017-07-22,59.66
3791,2017-07-23,59.32
3792,2017-07-24,63.79
3793,2017-07-25,61.61
3794,2017-07-26,60.94
3795,2017-07-27,63.2
3796,2017-07-28,63.97
3797,2017-07-29,57.08
3798,2017-07-30,55.95
3799,2017-07-31,59.67
3800,2017-08-01,60.49
3801,2017-08-02,63.04
3802,2017-08-03,60.46
3803,2017-08-04,59.21
3804,2017-08-05,58.51
3805,2017-08-06,58.11
3806,2017-08-07,60.17
3807,2017-08-08,67.29
3808,2017-08-09,68.65
3809,2017-08-10,64.25
3810,2017-08-11,63.58
3811,2017-08-12,57.57
3812,2017-08-13,58.17
3813,2017-08-14,63.1
3814,2017-08-15,61.86
3815,2017-08-16,62.58
3816,2017-08-17,60.44
3817,2017-08-18,62.68
3818,2017-08-19,62.1
3819,2017-08-20,62.17
3820,2017-08-21,66.04
3821,2017-08-22,61.85
3822,2017-08-23,61.92
3823,2017-08-24,63.86
3824,2017-08-25,61.52
3825,2017-08-26,54.33
3826,2017-08-27,51.29
3827,2017-08-28,53.15
3828,2017-08-29,62.66
3829,2017-08-30,68.96
3830,2017-08-31,71.04
3831,2017-09-01,69.1
3832,2017-09-02,62.39
3833,2017-09-03,68.01
3834,2017-09-04,69.15
3835,2017-09-05,69.88
3836,2017-09-06,73.61
3837,2017-09-07,75.31
3838,2017-09-08,75.51
3839,2017-09-09,72.42
3840,2017-09-10,80.95
3841,2017-09-11,85.25
3842,2017-09-12,88.35
3843,2017-09-13,90.4
3844,2017-09-14,95.7
3845,2017-09-15,98.69
3846,2017-09-16,96.65
3847,2017-09-17,93.84
3848,2017-09-18,100.7
3849,2017-09-19,98.51
3850,2017-09-20,93.78
3851,2017-09-21,93.1
3852,2017-09-22,97.21
3853,2017-09-23,81.22
3854,2017-09-24,77.04
3855,2017-09-25,82.31
3856,2017-09-26,80.41
3857,2017-09-27,85.0
3858,2017-09-28,79.43
3859,2017-09-29,82.99
3860,2017-09-30,88.54
3861,2017-10-01,86.76
3862,2017-10-02,96.86
3863,2017-10-03,109.88
3864,2017-10-04,116.97
3865,2017-10-05,106.93
3866,2017-10-06,114.1
3867,2017-10-07,101.49
3868,2017-10-08,95.5
3869,2017-10-09,103.91
3870,2017-10-10,101.53
3871,2017-10-11,104.14
3872,2017-10-12,110.19
3873,2017-10-13,93.7
3874,2017-10-14,80.04
3875,2017-10-15,82.63
3876,2017-10-16,89.09
3877,2017-10-17,105.85
3878,2017-10-18,117.6
3879,2017-10-19,111.22
3880,2017-10-20,111.84
3881,2017-10-21,111.32
3882,2017-10-22,124.84
3883,2017-10-23,123.53
3884,2017-10-24,106.86
3885,2017-10-25,106.18
3886,2017-10-26,119.03
3887,2017-10-27,126.15
